make,model,mileage,fuel-type,first-registration,price,price_label,position,seller_name,seller_location,listing_zip_code,listing_url,title,drive_type,extended_range,car_type
ford,mustang mach-e,14575,e,08-2022,49990,expensive,99,Garage Steveny Sterrenbeoordeling 4.5 van 5 (12),BE-5004 Bouge,5004,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99-kwh-rwd-extended-range-elektrisch-grijs-302c3dbb-3487-42bf-a31e-c7c51c1c7e3d,Ford Mustang Mach-E 99 kWh RWD Extended Range,RWD,yes,unknown
ford,mustang mach-e,5010,e,04-2023,66450,fair-price,100,BVBA Garage Trading Sterrenbeoordeling 5 van 5 (40),Jens Verbesselt • BE-1830 Machelen,1830,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-490-pk-extended-range-panoramic-roof-cy-elektrisch-geel-7ae8f42c-7e9e-4de3-ae90-d1a775ef637f,Ford Mustang Mach-E GT / 490 PK / Extended Range / Panoramic Roof / Cy,unknown,yes,GT
ford,mustang mach-e,23024,e,06-2023,51990,expensive,101,Ford Unicars Brugge Sterrenbeoordeling 4 van 5 (5),Kris Durie • BE-8000 Brugge,8000,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-awd-extended-range-351pk-garantie-elektrisch-wit-7f68e4d8-0c89-49c2-8644-345cb2638d5d,Ford Mustang Mach-E AWD - Extended Range - 351PK - GARANTIE,AWD,yes,Premium
ford,mustang mach-e,31806,e,05-2022,43332,unknown,102,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-rwd-99kwh-extended-range-294ch-216kw-gar-06-2030-elektrisch-blauw-1ad110b2-5e7e-4573-adca-912ed73db66e,Ford Mustang Mach-E RWD 99kWh Extended Range 294ch/216kW - GAR 06/2030,RWD,yes,unknown
ford,mustang mach-e,4,e,new,68256,unknown,103,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-99kwh-extended-range-487ch-258kw-a1-elektrisch-wit-19e1535c-7a67-4b80-a9c0-78c9cc24bd7a,Ford Mustang Mach-E GT 99kWh Extended Range 487ch/258kW - A1,unknown,yes,GT
ford,mustang mach-e,1,e,04-2023,48900,fair-price,104,Ford Matel Motors,Busato Steven • BE-4100 Seraing,4100,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76-kwh-rwd-standard-range-elektrisch-wit-5b431aa9-8066-4334-b8eb-db4d6c0b84fb,Ford Mustang Mach-E 76 kWh RWD Standard Range,RWD,no,unknown
ford,mustang mach-e,19975,e,12-2021,49990,expensive,105,Garage Steveny Sterrenbeoordeling 4.5 van 5 (12),BE-5004 Bouge,5004,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-range-99-kwh-rwd-extended-294cv-gps-toit-pano-elektrisch-zilver-d2ecff59-47b7-4f22-ae62-a6136a7c97e0,Ford Mustang Mach-E Range 99 kWh RWD Extended 294CV *GPS*TOIT PANO*,RWD,yes,unknown
ford,mustang mach-e,12713,e,10-2023,54998,expensive,106,Garage Steveny Sterrenbeoordeling 4.5 van 5 (12),BE-5004 Bouge,5004,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-99-kwh-rwd-294cv-extended-range-elektrisch-wit-10b42b13-db4a-4e9e-9c9c-8d686b4c19c2,Ford Mustang Mach-E Premium 99 kWh RWD 294CV Extended Range,RWD,yes,Premium
ford,mustang mach-e,41900,e,07-2022,42990,somewhat-expensive,107,AB Automotive nv Sterrenbeoordeling 4.5 van 5 (19),BE-1800 Vilvoorde,1800,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mach-e-rwd-full-option-elektrisch-zwart-3c75b65e-a115-46ab-a58e-d3a1a278a1a5,Ford Mustang Mach-E * MACH E - RWD - Full OPTION *,RWD,unknown,unknown
ford,mustang mach-e,unknown,e,new,50531,unknown,108,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-base-72kwh-standard-range-lfp-269ch-198kw-a1-elektrisch-wit-0748d9e9-b707-4b7d-8fa5-afcf4fc39227,Ford Mustang Mach-E Base 72kWh Standard Range LFP 269ch/198kW - A1,unknown,no,Base
